Untitled_Curation_15_04_2026
title;authors;pmid;pmcid;doi;articleYear;journal;articleLink;source;status;exclusion;tags;neurostoreId
Structural and physiological MRI correlates of occult cerebrovascular disease in  late-onset epilepsy.;Hanby MF, Al-Bachari S, Makin F, Vidyasagar R, Parkes LM, Emsley HC;26413475;PMC4556750;10.1016/j.nicl.2015.07.016;2015;NeuroImage. Clinical;https://pubmed.ncbi.nlm.nih.gov/26413475;Neurostore;Screening;Irrelevant;;6QBvv6GanH2V
Gait disturbance associated with white matter changes: A gait analysis and blood flow study;"Iseki, Kazumi;Hanakawa, Takashi;Hashikawa, Kazuo;Tomimoto, Hidekazu;Nankaku, Manabu;Yamauchi, Hiroshi;Hallett, Mark;Fukuyama, Hidenao";19770057;;10.1016/j.neuroimage.2009.09.023;2010;NeuroImage;https://pubmed.ncbi.nlm.nih.gov/19770057;Neurostore;Screening;Irrelevant;;6rtmRtviz3Gm
Gray and white matter alterations in spinocerebellar ataxia type 7: Anin vivoDTI and VBM study;"Alcauter, Sarael;Barrios, Fernando A;Diaz, Rosalinda;Fernandez-Ruiz, Juan";21147232;;10.1016/j.neuroimage.2010.12.014;2011;NeuroImage;https://pubmed.ncbi.nlm.nih.gov/21147232;Neurostore;Screening;Irrelevant;;3PTo8cT5ZWqR
Hyperintensities on T2-weighted images in the basal ganglia of patients with major depression: Cerebral perfusion and clinical implications;Noa Vardi, Nanette Freedman, Hava Lester, John M Gomori, Roland Chisin, Bernard Lerer, Omer Bonne;21482458;;10.1016/j.pscychresns.2010.11.010;2011;Psychiatry research;https://pubmed.ncbi.nlm.nih.gov/21482458;Neurostore;Screening;Irrelevant;;6TigdRihyJVF
Development of a prediction model for cognitive impairment of sarcopenia using multimodal neuroimaging in non‐demented older adults;"Kim, Sunghwan; Wang, Sheng‐Min; Kang, Dong Woo; Um, Yoo Hyun; Yoon, Han Min; Lee, Soyoung; Choe, Yeong Sim; Kim, Regina EY; Kim, Donghyeon; Lee, Chang Uk; Lim, Hyun Kook";38889242;11247690;10.1002/alz.14054;2024;Alzheimers Dement;https://pubmed.ncbi.nlm.nih.gov/38889242;Neurostore;Screening;Irrelevant;;Tu4wMndp6aS2
Sex‐dependent alterations in hippocampal connectivity are linked to cerebrovascular and amyloid pathologies in normal aging;"Schweitzer, Noah; Li, Jinghang; Thurston, Rebecca C.; Lopresti, Brian; Klunk, William E.; Snitz, Beth; Tudorascu, Dana; Cohen, Ann; Kamboh, M. Ilyas; Halligan‐Eddy, Edythe; Iordanova, Bistra; Villemagne, Victor L.; Aizenstein, Howard; Wu, Minjie";37817668;PMC10916980;10.1002/alz.13503;2023;Alzheimers Dement;https://pubmed.ncbi.nlm.nih.gov/37817668;Neurostore;Screening;Irrelevant;;mTaAENz8j9gi
Regional differences in the link between water exchange rate across the blood–brain barrier and cognitive performance in normal aging;"Zachariou V; Pappas C; Bauer CE; Shao X; Liu P; Lu H; Wang DJJ; Gold BT";37713089;PMC10828276;10.1007/s11357-023-00930-2;2023;GeroScience;https://pubmed.ncbi.nlm.nih.gov/37713089;Neurostore;Screening;Irrelevant;;h6fRLWLMK9YX
Brain Function and Cognition in a Community Sample of Elderly Latinos;W. J. Jagust, J. L. Eberling, C. C. Wu, A. Finkbeiner, D. Mungas, P. E. Valk, M. N. Haan;12177371;;10.1212/WNL.59.3.378;2002;Neurology;https://pubmed.ncbi.nlm.nih.gov/12177371;Neurostore;Screening;Irrelevant;;GMx7Qgju7Xti
Fiber connectivity density mapping in end-stage renal disease patients: a preliminary study.;"Ma, Chi;Jiang, Xinghai;Ren, Yande;Gu, Gaojie;Fu, Airong;Wang, Chengjian;Bai, Peirui;Zhou, Tong;Qin, Shanshan;Fu, Shengli";35000065;;10.1007/s11682-021-00604-7;2022;Brain imaging and behavior;https://pubmed.ncbi.nlm.nih.gov/35000065;Neurostore;Screening;Irrelevant;;g5USr77SLTYK
Association between Visceral Adipose Tissue Metabolism and Cerebral Glucose Metabolism in Patients with Cognitive Impairment;"Yu, Mi-Hee; Lim, Ji Sun; Yi, Hyon-Ah; Won, Kyoung Sook; Kim, Hae Won";39000586;11242271;10.3390/ijms25137479;2024;Int J Mol Sci;https://pubmed.ncbi.nlm.nih.gov/39000586;Neurostore;Screening;Irrelevant;;dVskhQAFA5FT
Interactions between sleep disturbances and Alzheimer’s disease on brain function: a preliminary study combining the static and dynamic functional MRI;"Li K; Luo X; Zeng Q; Jiaerken Y; Wang S; Xu X; Xu X; Xu J; Wang C; Zhou J; Huang P; Zhang M";31836777;PMC6911090;10.1038/s41598-019-55452-9;2019;Sci Rep;https://pubmed.ncbi.nlm.nih.gov/31836777;Neurostore;Screening;Irrelevant;;axXhz8NSftUi
Neural Correlates of Sleep Disturbance in Alzheimer’s Disease: Role of the Precuneus in Sleep Disturbance;"Matsuoka T; Imai A; Fujimoto H; Kato Y; Shibata K; Nakamura K; Yokota H; Yamada K; Narumoto J";29710710;PMC6004892;10.3233/JAD-171169;2018;J Alzheimers Dis;https://pubmed.ncbi.nlm.nih.gov/29710710;Neurostore;Screening;Irrelevant;;99j2XXySVLSY
Altered serum amyloid beta and cerebral perfusion and their associations with cognitive function in patients with subcortical ischemic vascular disease;"Zhang W; Li M; Zhou X; Huang C; Wan K; Li C; Yin J; Zhao W; Zhang C; Zhu X; Sun Z";36312019;PMC9608371;10.3389/fnins.2022.993767;2022;Front Neurosci;https://pubmed.ncbi.nlm.nih.gov/36312019;Neurostore;Screening;Irrelevant;;7FNZqHXCeLSC
Bipolar and major depressive disorder: Neuroimaging the developmental-degenerative divide;"Savitz, Jonathan;Drevets, Wayne C";19428491;PMC2858318;10.1016/j.neubiorev.2009.01.004;2009;Neuroscience and biobehavioral reviews;https://pubmed.ncbi.nlm.nih.gov/19428491;Neurostore;Screening;Irrelevant;;7eP2CqhcPdpK
Contrasting resting-state fMRI abnormalities from sickle and non-sickle anemia.;Coloigner J, Kim Y, Bush A, Choi S, Balderrama MC, Coates TD, O'Neil SH, Lepore N, Wood JC;28981541;PMC5628803;10.1371/journal.pone.0184860;2017;PloS one;https://pubmed.ncbi.nlm.nih.gov/28981541;Neurostore;Screening;Irrelevant;;64rdhfDefixy
MRI predictors of cognitive change in a diverse and carefully characterized elderly population.;Carmichael O, Mungas D, Beckett L, Harvey D, Tomaszewski Farias S, Reed B, Olichney J, Miller J, Decarli C;20359776;PMC2909327;10.1016/j.neurobiolaging.2010.01.021;2012;Neurobiology of aging;https://pubmed.ncbi.nlm.nih.gov/20359776;Neurostore;Screening;Irrelevant;;62dAPDxjrV9Q
Abnormal amplitude of low‐frequency fluctuations and functional connectivity of resting‐state functional magnetic resonance imaging in patients with leukoaraiosis;"Cheng, Rongchuan;Qi, Honglin;Liu, Yong;Zhao, Shifu;Li, Chuanming;Liu, Chen;Zheng, Jian";28638719;PMC5474717;10.1002/brb3.714;2017;Brain and behavior;https://pubmed.ncbi.nlm.nih.gov/28638719;Neurostore;Screening;Irrelevant;;5CrQGcxUhB2r
Association of regional gray matter volume loss and progression of white matter lesions in multiple sclerosis — A longitudinal voxel-based morphometry study;"Bendfeldt, Kerstin;Kuster, Pascal;Traud, Stefan;Egger, Hanspeter;Winklhofer, Sebastian;Mueller-Lenke, Nicole;Naegelin, Yvonne;Gass, Achim;Kappos, Ludwig;Matthews, Paul M;Nichols, Thomas E;Radue, Ernst-Wilhelm;Borgwardt, Stefan J";19013533;;10.1016/j.neuroimage.2008.10.006;2009;NeuroImage;https://pubmed.ncbi.nlm.nih.gov/19013533;Neurostore;Screening;Irrelevant;;scj7zVbNCQT9
MRI characteristics of Japanese macaque encephalomyelitis: Comparison to human diseases.;"Tagge, Ian J;Kohama, Steven G;Sherman, Larry S;Bourdette, Dennis N;Woltjer, Randall;Wang, Paul;Wong, Scott W;Rooney, William D";33930224;PMC8722403;10.1111/jon.12868;2021;Journal of neuroimaging : official journal of the American Society of Neuroimaging;https://pubmed.ncbi.nlm.nih.gov/33930224;Neurostore;Screening;Irrelevant;;EwqD46EF9dPs
Genotype-phenotype correlations of cysteine replacement in CADASIL.;Takashi Matsushima, Silvio Conedera, Ryota Tanaka, Yuanzhe Li, Hiroyo Yoshino, Manabu Funayama, Aya Ikeda, Yuka Hosaka, Ayame Okuzumi, Yoshiaki Shimada, Kazuo Yamashiro, Yumiko Motoi, Kenya Nishioka, Nobutaka Hattori;27890607;;10.1016/j.neurobiolaging.2016.10.026;2016;Neurobiology of aging;https://pubmed.ncbi.nlm.nih.gov/27890607;Neurostore;Screening;Irrelevant;;47T9ic6HZ7xE
Macrostructural and Microstructural White Matter Alterations Are Associated with Apathy across the Clinical Alzheimer’s Disease Spectrum;"Manca R; Jones SA; Venneri A";36291317;PMC9599811;10.3390/brainsci12101383;2022;Brain Sci;https://pubmed.ncbi.nlm.nih.gov/36291317;Neurostore;Screening;Irrelevant;;HqwXtEq7WJmH
Modifications of brain tissue volumes in facioscapulohumeral dystrophy;"Quarantelli, Mario;Lanzillo, Roberta;Del Vecchio, Walter;Mollica, Carmine;Prinster, Anna;Iadicicco, Lucia;Iodice, Valeria;Santoro, Lucio;Salvatore, Marco";16806975;;10.1016/j.neuroimage.2006.04.226;2006;NeuroImage;https://pubmed.ncbi.nlm.nih.gov/16806975;Neurostore;Screening;Irrelevant;;7YWNLXRbU9a3
Graph theory network analysis provides brain MRI evidence of a partial continuum of neurodegeneration in patients with UMN-predominant ALS and ALS-FTD;"Rajagopalan V; Pioro EP";35597032;PMC9123271;10.1016/j.nicl.2022.103037;2022;Neuroimage Clin;https://pubmed.ncbi.nlm.nih.gov/35597032;Neurostore;Screening;Irrelevant;;8oKbT87HidAw
Degeneration of the Sensorimotor Tract in Degenerative Cervical Myelopathy and Compensatory Structural Changes in the Brain;"Chen S; Wang Y; Wu X; Chang J; Jin W; Li W; Song P; Wu Y; Zhu J; Qian Y; Shen C; Yu Y; Dong F";35444527;PMC9014124;10.3389/fnagi.2022.784263;2022;Front Aging Neurosci;https://pubmed.ncbi.nlm.nih.gov/35444527;Neurostore;Screening;Irrelevant;;ZahqFS9SraTG
Microstructural white matter abnormalities in type 2 diabetes mellitus: A diffusion tensor imaging study;"Hsu, Jung-Lung;Chen, Yen-Ling;Leu, Jyu-Gang;Jaw, Fu-Shan;Lee, Cheng-Hui;Tsai, Yuh-Feng;Hsu, Chien-Yeh;Bai, Chyi-Huey;Leemans, Alexander";21967726;;10.1016/j.neuroimage.2011.09.041;2012;NeuroImage;https://pubmed.ncbi.nlm.nih.gov/21967726;Neurostore;Screening;Irrelevant;;8KiYhgVkrrkY
Late-life obesity is associated with smaller global and regional gray matter volumes: a voxel-based morphometric study;"Brooks, S J;Benedict, C;Burgos, J;Kempton, M J;Kullberg, J;Nordenskjold, R;Kilander, L;Nylander, R;Larsson, E-M;Johansson, L;Ahlstrom, H;Lind, L;Schioth, H B";22290540;PMC3572402;10.1038/ijo.2012.13;2013;International journal of obesity (2005);https://pubmed.ncbi.nlm.nih.gov/22290540;Neurostore;Screening;Irrelevant;;4DUxwt68fnPf
Vessel density mapping of small cerebral vessels on 3D high resolution black blood MRI;"Sarabi MS; Ma SJ; Jann K; Ringman JM; Wang DJJ; Shi Y";38216104;PMC10834860;10.1016/j.neuroimage.2023.120504;2024;Neuroimage;https://pubmed.ncbi.nlm.nih.gov/38216104;Neurostore;Screening;Irrelevant;;DuWmmgnLecY3
Altered Spontaneous Brain Activity Related to Neurologic Dysfunction in Patients With Cerebral Small Vessel Disease;"Feng M; Wen H; Xin H; Zhang N; Liang C; Guo L";34975450;PMC8718906;10.3389/fnagi.2021.731585;2021;Front Aging Neurosci;https://pubmed.ncbi.nlm.nih.gov/34975450;Neurostore;Screening;Irrelevant;;tRdpdTDSizX2
Hippocampal vascular reserve associated with cognitive performance and hippocampal volume;"Perosa V; Priester A; Ziegler G; Cardenas-Blanco A; Dobisch L; Spallazzi M; Assmann A; Maass A; Speck O; Oltmer J; Heinze HJ; Schreiber S; Düzel E";31994699;PMC7009470;10.1093/brain/awz383;2020;Brain;https://pubmed.ncbi.nlm.nih.gov/31994699;Neurostore;Screening;Irrelevant;;YJ5dm3A4Hepo
Transcranial direct current stimulation for patients with walking difficulties caused by cerebral small vessel disease: a randomized controlled study;"Xu, Qiaoqiao; Yin, Wenwen; Zhou, Xia; Wang, Shuo; Chen, Sishi; Yang, Jiajia; Xi, Chunhua; Sun, Zhongwu";39850790;11756518;10.3389/fnagi.2024.1511287;2024;Front Aging Neurosci;https://pubmed.ncbi.nlm.nih.gov/39850790;Neurostore;Screening;Irrelevant;;TYRuntYfac4A
Fiber Connectivity Density in Cerebral Small-Vessel Disease Patients With Mild Cognitive Impairment and Cerebral Small-Vessel Disease Patients With Normal Cognition;"Liu C; Shi L; Zhu W; Yang S; Sun P; Qin Y; Tang X; Zhang S; Yao Y; Wang Z; Zhu W; Wang D";32116526;PMC7028684;10.3389/fnins.2020.00083;2020;Front Neurosci;https://pubmed.ncbi.nlm.nih.gov/32116526;Neurostore;Screening;Irrelevant;;et8rEYhNUuxV
Abnormal whole-brain voxelwise structure-function coupling and its association with cognitive dysfunction in patients with different cerebral small vessel disease burdens;"Zhang X; Liang C; Wang N; Wang Y; Gao Y; Sui C; Xin H; Feng M; Guo L; Wen H";37455935;PMC10347527;10.3389/fnagi.2023.1148738;2023;Front Aging Neurosci;https://pubmed.ncbi.nlm.nih.gov/37455935;Neurostore;Screening;Irrelevant;;YDpJTVRzFSVH
Cortical Thickness Estimation in Individuals With Cerebral Small Vessel Disease, Focal Atrophy, and Chronic Stroke Lesions;"Ozzoude M; Ramirez J; Raamana PR; Holmes MF; Walker K; Scott CJM; Gao F; Goubran M; Kwan D; Tartaglia MC; Beaton D; Saposnik G; Hassan A; Lawrence-Dewar J; Dowlatshahi D; Strother SC; Symons S; Bartha R; Swartz RH; Black SE";33381009;PMC7768006;10.3389/fnins.2020.598868;2020;Front Neurosci;https://pubmed.ncbi.nlm.nih.gov/33381009;Neurostore;Screening;Irrelevant;;mTHnhQ46k7Ry
White matter hyperintensities at critical crossroads for executive function and verbal abilities in small vessel disease;"Camerino I; Sierpowska J; Reid A; Meyer NH; Tuladhar AM; Kessels RPC; de Leeuw FE; Piai V";33231360;PMC7856651;10.1002/hbm.25273;2020;Hum Brain Mapp;https://pubmed.ncbi.nlm.nih.gov/33231360;Neurostore;Screening;Irrelevant;;Ucf9gzLwCZaJ
Brain Activation and Psychomotor Speed in Middle-Aged Patients with Type 1 Diabetes: Relationships with Hyperglycemia and Brain Small Vessel Disease;"Hwang, Misun;Tudorascu, Dana L;Nunley, Karen;Karim, Helmet;Aizenstein, Howard J;Orchard, Trevor J;Rosano, Caterina";26998494;PMC4779538;10.1155/2016/9571464;2016;Journal of diabetes research;https://pubmed.ncbi.nlm.nih.gov/26998494;Neurostore;Screening;Irrelevant;;6eb2psHHkee9
A comparison of functional and tractography based networks in cerebral small vessel disease.;Lawrence AJ, Tozer DJ, Stamatakis EA, Markus HS;29541576;PMC5849860;10.1016/j.nicl.2018.02.013;2018;NeuroImage. Clinical;https://pubmed.ncbi.nlm.nih.gov/29541576;Neurostore;Screening;Irrelevant;;5q4U5ysv5mwb
Spatiotemporal consistency analysis of cerebral small vessel disease: an rs-fMRI study;"Yang, Jie; Xiao, Rui; Liu, Yujian; He, Chaoliang; Han, Limei; Xu, Xiaoya; Chen, Meining; Zhong, Jianquan";38841094;PMC11150806;10.3389/fnins.2024.1385960;2024;Front Neurosci;https://pubmed.ncbi.nlm.nih.gov/38841094;Neurostore;Screening;Irrelevant;;dvUPRU9r3wDC
Cerebral cortical thickness in patients with type 2 diabetes.;Manon Brundel, Martijn van den Heuvel, Jeroen de Bresser, L Jaap Kappelle, Geert Jan Biessels;20869085;;10.1016/j.jns.2010.08.048;2010;Journal of the neurological sciences;https://pubmed.ncbi.nlm.nih.gov/20869085;Neurostore;Screening;Irrelevant;;7iynFTzAzfst
Aberrant spontaneous static and dynamic amplitude of low‐frequency fluctuations in cerebral small vessel disease with or without mild cognitive impairment;"Zhang, Xulian; Wang, Zhigang; Zheng, Darui; Cao, Xuan; Qi, Wenzhang; Yuan, Qianqian; Zhang, Da; Liang, Xuhong; Ruan, Yiming; Zhang, Shaojun; Tang, Weijie; Huang, Qingling; Xue, Chen";37815202;PMC10726894;10.1002/brb3.3279;2023;Brain Behav;https://pubmed.ncbi.nlm.nih.gov/37815202;Neurostore;Screening;Irrelevant;;LByiVSrJ9AtY
Structural and functional alterations in cerebral small vessel disease: an ALE-based meta-analysis.;"Li, Yingying;Liu, Xin;Jia, Xuejia;Li, Haoyuan;Jia, Xiuqin;Yang, Qi";36376927;;10.1093/cercor/bhac435;2023;Cerebral cortex (New York, N.Y. : 1991);https://pubmed.ncbi.nlm.nih.gov/36376927;Neurostore;Screening;Irrelevant;;8raaansTChco
The influence of cerebral small vessel disease on default mode network deactivation in mild cognitive impairment;"Papma, Janne M;den Heijer, Tom;de Koning, Inge;Mattace-Raso, Francesco U;van der Lugt, Aad;van der Lijn, Fedde;van Swieten, John C;Koudstaal, Peter J;Smits, Marion;Prins, Niels D";24179756;PMC3778258;10.1016/j.nicl.2012.11.005;2012;NeuroImage. Clinical;https://pubmed.ncbi.nlm.nih.gov/24179756;Neurostore;Screening;Irrelevant;;6BjMcaPqdwkL
Decreased nocturnal heart rate variability and potentially related brain regions in arteriosclerotic cerebral small vessel disease;"Zhang M; Yu H; Tang W; Ding D; Tang J; Liu N; Xue Y; Ren X; Shi L; Fu J";34530764;PMC8447504;10.1186/s12883-021-02388-1;2021;BMC Neurol;https://pubmed.ncbi.nlm.nih.gov/34530764;Neurostore;Screening;Irrelevant;;tPbSSLBMUv4V
The association of markers of cerebral small vessel disease and brain atrophy with incidence and course of depressive symptoms - the maastricht study.;"Geraets, Anouk Fj;Köhler, Sebastian;Jansen, Jacobus Fa;Eussen, Simone Jpm;Stehouwer, Coen DA;Schaper, Nicolaas C;Wesselius, Anke;Verhey, Frans Rj;Schram, Miranda T";34144369;;10.1016/j.jad.2021.05.096;2021;Journal of affective disorders;https://pubmed.ncbi.nlm.nih.gov/34144369;Neurostore;Screening;Irrelevant;;vTEE7ooV6bi9
Potential of brain age in identifying early cognitive impairment in subcortical small-vessel disease patients;"Shi Y; Mao H; Gao Q; Xi G; Zeng S; Ma L; Zhang X; Li L; Wang Z; Ji W; He P; You Y; Chen K; Shao J; Mao X; Fang X; Wang F";36118707;PMC9475066;10.3389/fnagi.2022.973054;2022;Front Aging Neurosci;https://pubmed.ncbi.nlm.nih.gov/36118707;Neurostore;Screening;Irrelevant;;8Wwj7k5E5ACs
Altered brain spontaneous activity in patients with cerebral small vessel disease using the amplitude of low-frequency fluctuation of different frequency bands;"Chen, Sina; Huang, Ruiwang; Zhang, Mingxian; Huang, Xiaohuang; Ling, Shuiqiao; Liu, Shuxue; Yang, Nan";38033542;PMC10687154;10.3389/fnins.2023.1282496;2023;Front Neurosci;https://pubmed.ncbi.nlm.nih.gov/38033542;Neurostore;Screening;Irrelevant;;EmPjqehehCVk
Differences in Gray Matter Volume in Cerebral Small Vessel Disease Patients with and without Sleep Disturbance;"Zhao J; Kong Q; Zhou X; Zhang Y; Yu Z; Qu W; Huang H; Luo X";36831837;PMC9953873;10.3390/brainsci13020294;2023;Brain Sci;https://pubmed.ncbi.nlm.nih.gov/36831837;Neurostore;Screening;Irrelevant;;NmXLQwLUEEiQ
Altered Brain Function in Cerebral Small Vessel Disease Patients With Gait Disorders: A Resting-State Functional MRI Study;"Zhou X; Zhang C; Li L; Zhang Y; Zhang W; Yin W; Yu X; Zhu X; Qian Y; Sun Z";33110408;PMC7487416;10.3389/fnagi.2020.00234;2020;Front Aging Neurosci;https://pubmed.ncbi.nlm.nih.gov/33110408;Neurostore;Screening;Irrelevant;;BD4Yt3kPzmJZ
Characterization of white matter microstructural abnormalities associated with cognitive dysfunction in cerebral small vessel disease with cerebral microbleeds.;Chaofan Sui, Hongwei Wen, Shengpei Wang, Mengmeng Feng, Haotian Xin, Yian Gao, Jing Li, Lingfei Guo, Changhu Liang;36584708;;10.1016/j.jad.2022.12.070;2022;Journal of affective disorders;https://pubmed.ncbi.nlm.nih.gov/36584708;Neurostore;Screening;Irrelevant;;3XvVAkPKKTuh
Extracranial Carotid Artery Stenosis: The Effects on Brain and Cognition with a Focus on Resting-State Functional Connectivity.;"Porcu, Michele;Cocco, Luigi;Saloner, David;Suri, Jasjit S;Montisci, Roberto;Carriero, Alessandro;Saba, Luca";32866351;;10.1111/jon.12777;2020;Journal of neuroimaging : official journal of the American Society of Neuroimaging;https://pubmed.ncbi.nlm.nih.gov/32866351;Neurostore;Screening;Irrelevant;;Dr7NM5vGAWbp
Altered Brain Morphometry in Cerebral Small Vessel Disease With Cerebral Microbleeds: An Investigation Combining Univariate and Multivariate Pattern Analyses;"Li J; Wen H; Wang S; Che Y; Zhang N; Guo L";35280297;PMC8904567;10.3389/fneur.2022.819055;2022;Front Neurol;https://pubmed.ncbi.nlm.nih.gov/35280297;Neurostore;Screening;Irrelevant;;nTc8ihoAiQW2
Progressive brain structural abnormality in cerebral small vessel disease assessed with MR imaging by using causal network analysis;"Mu, Ronghua; Qin, Xiaoyan; Zheng, Wei; Yang, Peng; Huang, Bingqin; Zhu, Xiqi";39278131;11419796;10.1016/j.nicl.2024.103672;2024;Neuroimage Clin;https://pubmed.ncbi.nlm.nih.gov/39278131;Neurostore;Screening;Irrelevant;;zfaMopjramoA
Sex differences in frontotemporal atrophy in CADASIL revealed by 7-Tesla MRI;"Jia X; Ling C; Li Y; Zhang J; Li Z; Jia X; Wang DJJ; Zhang Z; Yuan Y; Yang Q";36577270;PMC9813786;10.1016/j.nicl.2022.103298;2022;Neuroimage Clin;https://pubmed.ncbi.nlm.nih.gov/36577270;Neurostore;Screening;Irrelevant;;NYBcGfBezhJd
Cerebral microbleeds are uncommon in ischemic stroke associated with nonvalvular atrial fibrillation.;"Chatzikonstantinou, Anastasios;Willmann, Olaf;Szabo, Kristina;Hennerici, Michael G";19888932;;10.1111/j.1552-6569.2009.00440.x;2011;Journal of neuroimaging : official journal of the American Society of Neuroimaging;https://pubmed.ncbi.nlm.nih.gov/19888932;Neurostore;Screening;Irrelevant;;xBsZTShvr4UU
Performance comparison of 10 different classification techniques in segmenting white matter hyperintensities in aging.;"Dadar, Mahsa;Maranzano, Josefina;Misquitta, Karen;Anor, Cassandra J;Fonov, Vladimir S;Tartaglia, M Carmela;Carmichael, Owen T;Decarli, Charles;Collins, D Louis";28602597;PMC6469398;10.1016/j.neuroimage.2017.06.009;2017;NeuroImage;https://pubmed.ncbi.nlm.nih.gov/28602597;Neurostore;Screening;Irrelevant;;nYJBLTAXpWHQ
Correspondence between white matter hyperintensities and regional grey matter volumes in Alzheimer's disease;"Yi, Fangyuan; Wang, Jirui; Lin, Meiqing; Li, Baizhu; Han, Shiyu; Wang, Shan; Jin, Yingbin; Hu, Ning; Chen, Yutong; Shang, Xiuli";39351014;11439820;10.3389/fnagi.2024.1429098;2024;Front Aging Neurosci;https://pubmed.ncbi.nlm.nih.gov/39351014;Neurostore;Screening;Irrelevant;;g4xuss3PUDWU
Association between white matter hyperintensity load and grey matter atrophy in mild cognitive impairment is not unidirectional;"Vipin A; Wong BYX; Kumar D; Low A; Ng KP; Kandiah N";33861727;PMC8109133;10.18632/aging.202977;2021;Aging (Albany NY);https://pubmed.ncbi.nlm.nih.gov/33861727;Neurostore;Screening;Irrelevant;;w3HxsAyMD9JV
Aberrant Amplitude of Low-Frequency Fluctuation and Degree Centrality within the Default Mode Network in Patients with Vascular Mild Cognitive Impairment;"Li, Haoyuan; Jia, Xiuqin; Li, Yingying; Jia, Xuejia; Yang, Qi";34827533;PMC8615791;10.3390/brainsci11111534;2021;Brain Sci;https://pubmed.ncbi.nlm.nih.gov/34827533;Neurostore;Screening;Irrelevant;;SRQMbv9Nzwto
Attention-Related Brain Activation Is Altered in Older Adults With White Matter Hyperintensities Using Multi-Echo fMRI;"Atwi, Sarah; Metcalfe, Arron W. S.; Robertson, Andrew D.; Rezmovitz, Jeremy; Anderson, Nicole D.; MacIntosh, Bradley J.";30405336;PMC6200839;10.3389/fnins.2018.00748;2018;Front Neurosci;https://pubmed.ncbi.nlm.nih.gov/30405336;Neurostore;Screening;Irrelevant;;dr84ruyC55ie
White matter hyperintensities alter functional organization of the motor system;Linortner P, Fazekas F, Schmidt R, Ropele S, Pendl B, Petrovic K, Loitfelder M, Neuper C, Enzinger C;20724032;;10.1016/j.neurobiolaging.2010.06.005;2010;Neurobiology of aging;https://pubmed.ncbi.nlm.nih.gov/20724032;Neurostore;Screening;Irrelevant;;7wt2AhhggYGM
White Matter Lesions and Brain Gray Matter Volume in Cognitively Normal Elders;"Raji, Cyrus A;Lopez, Oscar L;Kuller, Lewis H;Carmichael, Owen T;Longstreth, William T Jr;Gach, H Michael;Boardman, John;Bernick, Charles B;Thompson, Paul M;Becker, James T";21943959;PMC3248984;10.1016/j.neurobiolaging.2011.08.010;2012;Neurobiology of aging;https://pubmed.ncbi.nlm.nih.gov/21943959;Neurostore;Screening;Irrelevant;;7aXzpBZTftCn
Resting state fMRI regional homogeneity correlates with cognition measures in subcortical vascular cognitive impairment;"Diciotti, Stefano;Orsolini, Stefano;Salvadori, Emilia;Giorgio, Antonio;Toschi, Nicola;Ciulli, Stefano;Ginestroni, Andrea;Poggesi, Anna;De Stefano, Nicola;Pantoni, Leonardo;Inzitari, Domenico;Mascalchi, Mario";28131162;;10.1016/j.jns.2016.12.003;2017;Journal of the neurological sciences;https://pubmed.ncbi.nlm.nih.gov/28131162;Neurostore;Screening;Irrelevant;;6pZgioScw84R
In Vivo High-Resolution 7 Tesla MRI Shows Early and Diffuse Cortical Alterations in CADASIL;"De Guio, Francois;Reyes, Sonia;Vignaud, Alexandre;Duering, Marco;Ropele, Stefan;Duchesnay, Edouard;Chabriat, Hugues;Jouvent, Eric";25165824;PMC4148432;10.1371/journal.pone.0106311;2014;PloS one;https://pubmed.ncbi.nlm.nih.gov/25165824;Neurostore;Screening;Irrelevant;;5vyo92YJJVmv
Disrupted functional and structural connectivity within default mode network contribute to WMH-related cognitive impairment.;Xin Chen, Lili Huang, Qing Ye, Dan Yang, Ruomeng Qin, Caimei Luo, Mengchun Li, Bing Zhang, Yun Xu;31795048;PMC6861557;10.1016/j.nicl.2019.102088;2019;NeuroImage. Clinical;https://pubmed.ncbi.nlm.nih.gov/31795048;Neurostore;Screening;Irrelevant;;5rgarvAmwC22
Differentiating between visual hallucination-free dementia with Lewy bodies and corticobasal syndrome on the basis of neuropsychology and perfusion single-photon emission computed tomography;"Misch, Michael R;Mitchell, Sara;Francis, Philip L;Sherborn, Kayla;Meradje, Katayoun;McNeely, Alicia A;Honjo, Kie;Zhao, Jiali;Scott, Christopher Jm;Caldwell, Curtis B;Ehrlich, Lisa;Shammi, Prathiba;MacIntosh, Bradley J;Bilbao, Juan M;Lang, Anthony E;Black, Sandra E;Masellis, Mario";25484929;PMC4256921;10.1186/s13195-014-0071-4;2014;Alzheimer's research & therapy;https://pubmed.ncbi.nlm.nih.gov/25484929;Neurostore;Screening;Irrelevant;;8FVRyEG7AYqV
Atorvastatin therapy is associated with greater and faster cerebral hemodynamic response;"Xu, Guofan;Fitzgerald, Michele E;Wen, Zhifei;Fain, Sean B;Alsop, David C;Carroll, Timothy;Ries, Michele L;Rowley, Howard A;Sager, Mark A;Asthana, Sanjay;Johnson, Sterling C;Carlsson, Cynthia M";20157644;PMC2821154;10.1007/s11682-007-9019-7;2008;Brain imaging and behavior;https://pubmed.ncbi.nlm.nih.gov/20157644;Neurostore;Screening;Irrelevant;;4QtKBX6T2xpb
